詞彙,注音,英譯,量詞
出土,ㄔㄨ ㄊㄨˇ,to dig up / to appear in an excavation / unearthed / to come up out of the ground,
出息,ㄔㄨ ㄒㄧˊ,future prospects / profit / to mature / to grow up,
出血,ㄔㄨ ㄒㄧㄝˇ,to bleed / bleeding / (fig.) to spend money in large amounts,
初期,ㄔㄨ ㄑㄧˊ,initial stage / beginning period,
儲備,ㄔㄨˊ ㄅㄟˋ,reserves / to store up,
除此之外,ㄔㄨˊ ㄘˇ ㄓ ㄨㄞˋ,apart from this / in addition to this,
鋤頭,ㄔㄨˊ ㄊㄡˊ,hoe,把
處,ㄔㄨˇ,"place / location / spot / point / office / department / bureau / respect / classifier for locations or items of damage: spot, point",
處方,ㄔㄨˇ ㄈㄤ,medical prescription / recipe / formula,
處分,ㄔㄨˇ ㄈㄣˋ,to discipline sb / to punish / disciplinary action / to deal with (a matter),個
處分,ㄔㄨˇ ㄈㄣˋ,to discipline sb / to punish / disciplinary action / to deal with (a matter),個
處境,ㄔㄨˇ ㄐㄧㄥˋ,situation (of a person),
處事,ㄔㄨˇ ㄕˋ,to handle affairs / to deal with,
處於,ㄔㄨˇ ㄩˊ,"to be in (some state, position, or condition)",
處女,ㄔㄨˇ ㄋㄩˇ,virgin / maiden / inaugural,
穿梭,ㄔㄨㄢ ㄙㄨㄛ,to travel back and forth / to shuttle,
傳,ㄔㄨㄢˊ,biography / historical narrative / commentaries / relay station,
傳遞,ㄔㄨㄢˊ ㄉㄧˋ,to transmit / to pass on to sb else / (math.) transitive,
傳奇,ㄔㄨㄢˊ ㄑㄧˊ,legendary / fantasy saga / romance / short stories of the Tang and Song Dynasty,
傳奇,ㄔㄨㄢˊ ㄑㄧˊ,legendary / fantasy saga / romance / short stories of the Tang and Song Dynasty,
傳神,ㄔㄨㄢˊ ㄕㄣˊ,vivid / lifelike,
傳授,ㄔㄨㄢˊ ㄕㄡˋ,to impart / to pass on / to teach,
船隻,ㄔㄨㄢˊ ㄓ,ship / boat / vessel,
喘,ㄔㄨㄢˇ,to gasp / to pant / asthma,
