詞彙,注音,英譯,量詞
威力,ㄨㄟ ㄌㄧˋ,might / formidable power,
萎縮,ㄨㄟ ㄙㄨㄛ,"to wither / to dry up (of a plant) / to atrophy (of muscle, social custom etc)",
為,ㄨㄟˊ,because of / for / to,
為人,ㄨㄟˊ ㄖㄣˊ,for sb / for others' interest,
為生,ㄨㄟˊ ㄕㄥ,to make a living,
為首,ㄨㄟˊ ㄕㄡˇ,head / be headed by,
為止,ㄨㄟˊ ㄓˇ,until / (used in combination with words like 到[dao4] or 至[zhi4] in constructs of the form 到...為止...为止),
違背,ㄨㄟˊ ㄅㄟˋ,to go against / to be contrary to / to violate,
違約,ㄨㄟˊ ㄩㄝ,to break a promise / to violate an agreement / to default (on a loan or contract),
危害,ㄨㄟˊ ㄏㄞˋ,to jeopardize / to harm / to endanger / harmful effect / damage,個
圍巾,ㄨㄟˊ ㄐㄧㄣ,scarf / shawl,條
圍牆,ㄨㄟˊ ㄑㄧㄤˊ,perimeter wall / fence,道
圍繞,ㄨㄟˊ ㄖㄠˋ,to revolve around / to center on (an issue),
微弱,ㄨㄟˊ ㄖㄨㄛˋ,weak / faint / feeble,
微小,ㄨㄟˊ ㄒㄧㄠˇ,minute (i.e. extremely small) / infinitesimal,
維生素,ㄨㄟˊ ㄕㄥ ㄙㄨˋ,vitamin,
胃,ㄨㄟˋ,stomach,個
胃口,ㄨㄟˋ ㄎㄡˇ,appetite / liking,
未必,ㄨㄟˋ ㄅㄧˋ,not necessarily / maybe not,
未婚夫,ㄨㄟˋ ㄏㄨㄣ ㄈㄨ,fiancé,
未婚妻,ㄨㄟˋ ㄏㄨㄣ ㄑㄧ,fiancée,
未免,ㄨㄟˋ ㄇㄧㄢˇ,unavoidably / can't help / really / rather,
衛生,ㄨㄟˋ ㄕㄥ,health / hygiene / sanitation,
溫,ㄨㄣ,warm / lukewarm / temperature / to warm up / mild / soft / tender / to review (a lesson etc) / fever (TCM) / old variant of 瘟[wen1],
溫帶,ㄨㄣ ㄉㄞˋ,temperate zone,
溫泉,ㄨㄣ ㄑㄩㄢˊ,hot spring / spa / onsen,
溫習,ㄨㄣ ㄒㄧˊ,to review (a lesson etc),
溫馴,ㄨㄣ ㄒㄩㄣˊ,docile / meek / harmless / moderate and obedient / tame,
瘟疫,ㄨㄣ ㄧˋ,epidemic / plague / pestilence / diseased,
文明,ㄨㄣˊ ㄇㄧㄥˊ,civilized / civilization / culture,個
文壇,ㄨㄣˊ ㄊㄢˊ,literary circles,
文獻,ㄨㄣˊ ㄒㄧㄢˋ,document,
聞名,ㄨㄣˊ ㄇㄧㄥˊ,well-known / famous / renowned / eminent,
穩健,ㄨㄣˇ ㄐㄧㄢˋ,firm / stable and steady,
紊亂,ㄨㄣˋ ㄌㄨㄢˋ,disorder / chaos,
問世,ㄨㄣˋ ㄕˋ,to be published / to come out,
臥,ㄨㄛˋ,to lie / to crouch,
烏龜,ㄨ ㄍㄨㄟ,tortoise / cuckold,
烏龍茶,ㄨ ㄌㄨㄥˊ ㄔㄚˊ,oolong tea,
烏鴉,ㄨ ㄧㄚ,crow / raven,
汙染,ㄨ ㄖㄢˇ,pollution / contamination,個
無比,ㄨˊ ㄅㄧˇ,incomparable / matchless,
無線電,ㄨˊ ㄒㄧㄢˋ ㄉㄧㄢˋ,wireless,
無形,ㄨˊ ㄒㄧㄥˊ,incorporeal / virtual / formless / invisible (assets) / intangible,
無疑,ㄨˊ ㄧˊ,no doubt / undoubtedly,
五金,ㄨˇ ㄐㄧㄣ,"metal hardware (nuts and bolts) / the five metals: gold, silver, copper, iron and tin 金銀銅鐵錫银铜铁锡",
武力,ㄨˇ ㄌㄧˋ,military force,
武士,ㄨˇ ㄕˋ,warrior / samurai,
武裝,ㄨˇ ㄓㄨㄤ,arms / equipment / to arm / military / armed (forces),
侮辱,ㄨˇ ㄖㄨˋ,to insult / to humiliate / dishonor,
物產,ㄨˋ ㄔㄢˇ,products / produce / natural resources,
物品,ㄨˋ ㄆㄧㄣˇ,articles / goods / materials,
物體,ㄨˋ ㄊㄧˇ,object / body / substance,
物資,ㄨˋ ㄗ,goods / supplies,
誤差,ㄨˋ ㄔㄚ,difference / error / inaccuracy,
誤解,ㄨˋ ㄐㄧㄝˇ,to misunderstand / to misread / misunderstanding,
務實,ㄨˋ ㄕˊ,pragmatic / dealing with concrete issues,
西服,ㄒㄧ ㄈㄨˊ,suit / Western-style clothes (historical usage),
西洋,ㄒㄧ ㄧㄤˊ,the West (Europe and North America) / countries of the Indian Ocean (traditional),
西醫,ㄒㄧ ㄧ,Western medicine / a doctor trained in Western medicine,
溪流,ㄒㄧ ㄌㄧㄡˊ,stream,
席,ㄒㄧˊ,"woven mat / seat / banquet / place in a democratic assembly / classifier for banquets, conversations etc",
席位,ㄒㄧˊ ㄨㄟˋ,"a seat (in a theater, stadium etc) / parliamentary or congressional seat",
錫,ㄒㄧˊ,tin (chemistry) / to bestow / to confer / to grant / Taiwan pr. [xi2],
襲擊,ㄒㄧˊ ㄐㄧˊ,attack (esp. surprise attack) / raid / to attack,
昔日,ㄒㄧˊ ㄖˋ,formerly / in olden days,
習題,ㄒㄧˊ ㄊㄧˊ,(schoolwork) exercise / problem / question,
洗禮,ㄒㄧˇ ㄌㄧˇ,baptism (lit. or fig.),
喜氣,ㄒㄧˇ ㄑㄧˋ,hilarity / cheerful atmosphere,
喜悅,ㄒㄧˇ ㄩㄝˋ,happy / joyous,
系,ㄒㄧˋ,system / department / faculty,
戲曲,ㄒㄧˋ ㄑㄩˇ,Chinese opera,
瑕疵,ㄒㄧㄚˊ ㄘ,blemish / flaw / defect,
峽谷,ㄒㄧㄚˊ ㄍㄨˇ,canyon / gill / ravine,
狹小,ㄒㄧㄚˊ ㄒㄧㄠˇ,narrow,
狹窄,ㄒㄧㄚˊ ㄓㄞˇ,narrow,
下筆,ㄒㄧㄚˋ ㄅㄧˇ,to put pen to paper,
下跌,ㄒㄧㄚˋ ㄉㄧㄝˊ,to fall / to tumble,
下滑,ㄒㄧㄚˋ ㄏㄨㄚˊ,sliding / slide,
下列,ㄒㄧㄚˋ ㄌㄧㄝˋ,following,
下水,ㄒㄧㄚˋ ㄕㄨㄟˇ,offal / viscera / tripe,
下水道,ㄒㄧㄚˋ ㄕㄨㄟˇ ㄉㄠˋ,sewer,
下旬,ㄒㄧㄚˋ ㄒㄩㄣˊ,last third of the month,
掀,ㄒㄧㄢ,to lift (a lid) / to rock / to convulse,
仙丹,ㄒㄧㄢ ㄉㄢ,elixir / magic potion,
先後,ㄒㄧㄢ ㄏㄡˋ,early or late / priority / in succession / one after another,
先進,ㄒㄧㄢ ㄐㄧㄣˋ,advanced (technology) / to advance,
先驅,ㄒㄧㄢ ㄑㄩ,pioneer,
先天,ㄒㄧㄢ ㄊㄧㄢ,inborn / innate / natural,
鮮明,ㄒㄧㄢ ㄇㄧㄥˊ,bright / clear-cut / distinct,
鮮艶,ㄒㄧㄢ ㄧㄢˋ,bright-colored / gaily-colored,
鮮豔,ㄒㄧㄢ ㄧㄢˋ,bright-colored / gaily-colored,
纖維,ㄒㄧㄢ ㄨㄟˊ,fiber,種
嫌疑,ㄒㄧㄢˊ ㄧˊ,suspicion / to have suspicions,
顯現,ㄒㄧㄢˇ ㄒㄧㄢˋ,appearance / to appear,
限,ㄒㄧㄢˋ,limit / bound / to set a limit (on),
限度,ㄒㄧㄢˋ ㄉㄨˋ,limitation / limit,
憲法,ㄒㄧㄢˋ ㄈㄚˇ,constitution (of a country),部
線路,ㄒㄧㄢˋ ㄌㄨˋ,line / circuit / wire / road / railway track / bus route,
陷入,ㄒㄧㄢˋ ㄖㄨˋ,to sink into / to get caught up in / to land in (a predicament),
獻身,ㄒㄧㄢˋ ㄕㄣ,to commit one's energy to / to devote oneself to / to sacrifice one's life for / (coll.) (of a woman) to give one's virginity to,
現今,ㄒㄧㄢˋ ㄐㄧㄣ,now / nowadays / modern,
現行,ㄒㄧㄢˋ ㄒㄧㄥˊ,to be in effect / in force / current,
現狀,ㄒㄧㄢˋ ㄓㄨㄤˋ,current situation,
相傳,ㄒㄧㄤ ㄔㄨㄢˊ,to pass on / to hand down / tradition has it that ... / according to legend,
相仿,ㄒㄧㄤ ㄈㄤˇ,similar,
相符,ㄒㄧㄤ ㄈㄨˊ,to match / to tally,
相繼,ㄒㄧㄤ ㄐㄧˋ,in succession / following closely,
相配,ㄒㄧㄤ ㄆㄟˋ,to match / well-suited,
鄉土,ㄒㄧㄤ ㄊㄨˇ,native soil / one's native land / one's hometown / local (to an area),
香皂,ㄒㄧㄤ ㄗㄠˋ,perfumed soap / toilet soap,塊
鑲,ㄒㄧㄤ,to inlay / to embed / ridge / border,
想開,ㄒㄧㄤˇ ㄎㄞ,"to get over (a shock, bereavement etc) / to avoid dwelling on unpleasant things / to accept the situation and move on",
響亮,ㄒㄧㄤˇ ㄌㄧㄤˋ,loud and clear / resounding,
向,ㄒㄧㄤˋ,towards / to face / to turn towards / direction / to support / to side with / shortly before / formerly / always / all along / (suffix) suitable for ... / oriented to ...,
項,ㄒㄧㄤˋ,"back of neck / item / thing / term (in a mathematical formula) / sum (of money) / classifier for principles, items, clauses, tasks, research projects etc",
嚮導,ㄒㄧㄤˋ ㄉㄠˇ,guide,
嚮往,ㄒㄧㄤˋ ㄨㄤˇ,to yearn for / to look forward to,
象徵,ㄒㄧㄤˋ ㄓㄥ,emblem / symbol / token / badge / to symbolize / to signify / to stand for,
象徵,ㄒㄧㄤˋ ㄓㄥ,emblem / symbol / token / badge / to symbolize / to signify / to stand for,
消毒,ㄒㄧㄠ ㄉㄨˊ,to disinfect / to sterilize,
消防,ㄒㄧㄠ ㄈㄤˊ,firefighting / fire control,
消耗,ㄒㄧㄠ ㄏㄠˋ,to use up / to consume,
消遣,ㄒㄧㄠ ㄑㄧㄢˇ,to while the time away / amusement / pastime / recreation / to make sport of,
消遣,ㄒㄧㄠ ㄑㄧㄢˇ,to while the time away / amusement / pastime / recreation / to make sport of,
瀟灑,ㄒㄧㄠ ㄙㄚˇ,confident and at ease / free and easy,
逍遙,ㄒㄧㄠ ㄧㄠˊ,free and unfettered,
小販,ㄒㄧㄠˇ ㄈㄢˋ,peddler / hawker,
小伙子,ㄒㄧㄠˇ ㄏㄨㄛˇ ㄗ˙,young man / young guy / lad / youngster,個
小夥子,ㄒㄧㄠˇ ㄏㄨㄛˇ ㄗ˙,young man / young guy / lad / youngster,個
效法,ㄒㄧㄠˋ ㄈㄚˇ,to imitate / to follow the example of,
效勞,ㄒㄧㄠˋ ㄌㄠˊ,to serve (in some capacity) / to work for,
效力,ㄒㄧㄠˋ ㄌㄧˋ,effectiveness / positive effect / to serve (in some capacity),
效忠,ㄒㄧㄠˋ ㄓㄨㄥ,to vow loyalty and devotion to,
笑嘻嘻,ㄒㄧㄠˋ ㄒㄧ ㄒㄧ,grinning / smiling,
孝子,ㄒㄧㄠˋ ㄗˇ,filial son,
協辦,ㄒㄧㄝˊ ㄅㄢˋ,to assist / to help sb do sth / to cooperate in doing sth,
協定,ㄒㄧㄝˊ ㄉㄧㄥˋ,agreement / accord / to reach an agreement,
協會,ㄒㄧㄝˊ ㄏㄨㄟˋ,an association / a society,個 / 家
協商,ㄒㄧㄝˊ ㄕㄤ,to consult with / to talk things over / agreement,
協調,ㄒㄧㄝˊ ㄊㄧㄠˊ,to coordinate / to harmonize / to fit together / to match (colors etc) / harmonious / concerted,
協調,ㄒㄧㄝˊ ㄊㄧㄠˊ,to coordinate / to harmonize / to fit together / to match (colors etc) / harmonious / concerted,
協議,ㄒㄧㄝˊ ㄧˋ,agreement / pact / protocol,項
協議,ㄒㄧㄝˊ ㄧˋ,agreement / pact / protocol,項
血汗,ㄒㄧㄝˇ ㄏㄢˋ,blood and sweat / sweat and toil,
血跡,ㄒㄧㄝˇ ㄐㄧ,bloodstain,
血壓,ㄒㄧㄝˇ ㄧㄚ,blood pressure,
寫實,ㄒㄧㄝˇ ㄕˊ,realism / realistic portrayal / realistic / true to life,
寫作,ㄒㄧㄝˇ ㄗㄨㄛˋ,to write / to compose / writing / written works,
洩氣,ㄒㄧㄝˋ ㄑㄧˋ,to leak (gas) / to be discouraged / to despair / (disparaging) pathetic / to vent one's anger / (of a tire) to be flat,
心愛,ㄒㄧㄣ ㄞˋ,beloved,
心軟,ㄒㄧㄣ ㄖㄨㄢˇ,to be softhearted / to be tenderhearted / to be kindhearted,
心事,ㄒㄧㄣ ㄕˋ,a load on one's mind / worry,宗 / 樁
心思,ㄒㄧㄣ ㄙ,mind / thoughts / inclination / mood,
心酸,ㄒㄧㄣ ㄙㄨㄢ,to feel sad,
心態,ㄒㄧㄣ ㄊㄞˋ,attitude (of the heart) / state of one's psyche / way of thinking / mentality,
心疼,ㄒㄧㄣ ㄊㄥˊ,to love dearly / to feel sorry for sb / to regret / to grudge / to be distressed,
心胸,ㄒㄧㄣ ㄒㄩㄥ,heart / mind / ambition / aspiration,
辛勤,ㄒㄧㄣ ㄑㄧㄣˊ,hardworking / industrious,
辛酸,ㄒㄧㄣ ㄙㄨㄢ,pungent (taste) / bitter / fig. sad / miserable,
新潮,ㄒㄧㄣ ㄔㄠˊ,modern / fashionable,
新手,ㄒㄧㄣ ㄕㄡˇ,new hand / novice / raw recruit,
新穎,ㄒㄧㄣ ㄧㄥˇ,lit. new bud / fig. new and original,
信賴,ㄒㄧㄣˋ ㄌㄞˋ,to trust / to have confidence in / to have faith in / to rely on,
信念,ㄒㄧㄣˋ ㄋㄧㄢˋ,faith / belief / conviction,
信徒,ㄒㄧㄣˋ ㄊㄨˊ,believer,
信息,ㄒㄧㄣˋ ㄒㄧˊ,information / news / message,
星辰,ㄒㄧㄥ ㄔㄣˊ,stars,
星座,ㄒㄧㄥ ㄗㄨㄛˋ,constellation / astrological sign,張
興建,ㄒㄧㄥ ㄐㄧㄢˋ,to build / to construct,
興隆,ㄒㄧㄥ ㄌㄨㄥˊ,prosperous / thriving / flourishing,
興起,ㄒㄧㄥ ㄑㄧˇ,to rise / to spring up / to burgeon / to be aroused / to come into vogue,
行善,ㄒㄧㄥˊ ㄕㄢˋ,to do good works / to be merciful,
行使,ㄒㄧㄥˊ ㄕˇ,to exercise (a right etc),
行星,ㄒㄧㄥˊ ㄒㄧㄥ,planet,顆
行政,ㄒㄧㄥˊ ㄓㄥˋ,administrative / executive (attributive),
刑事,ㄒㄧㄥˊ ㄕˋ,criminal / penal,
形勢,ㄒㄧㄥˊ ㄕˋ,circumstances / situation / terrain,個
形態,ㄒㄧㄥˊ ㄊㄞˋ,shape / form / pattern / morphology,
形體,ㄒㄧㄥˊ ㄊㄧˇ,figure / physique / form and structure,
形形色色,ㄒㄧㄥˊ ㄒㄧㄥˊ ㄙㄜˋ ㄙㄜˋ,all kinds of / all sorts of / every (different) kind of,
型態,ㄒㄧㄥˊ ㄊㄞˋ,form / shape / type / style / pattern,
性,ㄒㄧㄥˋ,"nature / character / property / quality / attribute / sexuality / sex / gender / suffix forming adjective from verb / suffix forming noun from adjective, corresponding to -ness or -ity / essence",個
性能,ㄒㄧㄥˋ ㄋㄥˊ,function / performance,
性情,ㄒㄧㄥˋ ㄑㄧㄥˊ,nature / temperament,
興致,ㄒㄧㄥˋ ㄓˋ,mood / spirits / interest,
胸,ㄒㄩㄥ,chest / bosom / heart / mind / thorax,
胸口,ㄒㄩㄥ ㄎㄡˇ,pit of the stomach,
修補,ㄒㄧㄡ ㄅㄨˇ,to mend,
修訂,ㄒㄧㄡ ㄉㄧㄥˋ,to revise,
修建,ㄒㄧㄡ ㄐㄧㄢˋ,to build / to construct,
修女,ㄒㄧㄡ ㄋㄩˇ,nun or sister (of the Roman Catholic or Greek Orthodox churches),
修養,ㄒㄧㄡ ㄧㄤˇ,accomplishment / training / self-cultivation,
修築,ㄒㄧㄡ ㄓㄨˊ,to build,
繡,ㄒㄧㄡˋ,to embroider / embroidery,
須,ㄒㄩ,must / to have to / to wait,
虛擬,ㄒㄩ ㄋㄧˇ,to imagine / to make up / fictitious / theoretical / hypothetical / (computing) to emulate / virtual,
虛心,ㄒㄩ ㄒㄧㄣ,open-minded / humble,
許,ㄒㄩˇ,to allow / to permit / to promise / to praise / somewhat / perhaps,
許多,ㄒㄩˇ ㄉㄨㄛ,many / a lot of / much,
許久,ㄒㄩˇ ㄐㄧㄡˇ,for a long time / for ages,
許可,ㄒㄩˇ ㄎㄜˇ,to allow / to permit,
酗酒,ㄒㄩˋ ㄐㄧㄡˇ,heavy drinking / to get drunk / to drink to excess,
序幕,ㄒㄩˋ ㄇㄨˋ,prologue,
敘述,ㄒㄩˋ ㄕㄨˋ,to relate (a story or information) / to tell or talk about / to recount / narration / telling / narrative / account,
宣稱,ㄒㄩㄢ ㄔㄥ,to assert / to claim,
宣告,ㄒㄩㄢ ㄍㄠˋ,to declare / to proclaim,
宣示,ㄒㄩㄢ ㄕˋ,to vow / to pledge,
宣誓,ㄒㄩㄢ ㄕˋ,to swear an oath (of office) / to make a vow,
宣言,ㄒㄩㄢ ㄧㄢˊ,declaration / manifesto,
宣揚,ㄒㄩㄢ ㄧㄤˊ,to proclaim / to make public or well known,
旋律,ㄒㄩㄢˊ ㄌㄩˋ,melody / rhythm,
旋轉,ㄒㄩㄢˊ ㄓㄨㄢˇ,to rotate / to revolve / to spin / to whirl,
懸殊,ㄒㄩㄢˊ ㄕㄨ,widely different / large disparity,
懸崖,ㄒㄩㄢˊ ㄧㄞˊ,precipice / overhanging cliff,
選拔,ㄒㄩㄢˇ ㄅㄚˊ,to select the best,
選購,ㄒㄩㄢˇ ㄍㄡˋ,to select and purchase / to buy,
選民,ㄒㄩㄢˇ ㄇㄧㄣˊ,voter / constituency / electorate,
選票,ㄒㄩㄢˇ ㄆㄧㄠˋ,a vote / ballot,張
選修,ㄒㄩㄢˇ ㄒㄧㄡ,optional course (in school) / to take an optional course,
學分,ㄒㄩㄝˊ ㄈㄣ,course credit,
學科,ㄒㄩㄝˊ ㄎㄜ,subject / branch of learning / course / academic discipline,
學年,ㄒㄩㄝˊ ㄋㄧㄢˊ,academic year,
學識,ㄒㄩㄝˊ ㄕˋ,erudition / scholarly knowledge,
學說,ㄒㄩㄝˊ ㄕㄨㄛ,theory / doctrine,
學徒,ㄒㄩㄝˊ ㄊㄨˊ,apprentice,
學員,ㄒㄩㄝˊ ㄩㄢˊ,student / member of an institution of learning / officer cadet,
學制,ㄒㄩㄝˊ ㄓˋ,educational system / length of schooling,
雪人,ㄒㄩㄝˇ ㄖㄣˊ,snowman / yeti,
削弱,ㄒㄩㄝˋ ㄖㄨㄛˋ,to weaken / to impair / to cripple,
循環,ㄒㄩㄣˊ ㄏㄨㄢˊ,to cycle / to circulate / circle / loop,
巡邏,ㄒㄩㄣˊ ㄌㄨㄛˊ,"to patrol (police, army or navy)",
巡視,ㄒㄩㄣˊ ㄕˋ,to patrol / to make a tour / to inspect / to scan with one's eyes,
詢問,ㄒㄩㄣˊ ㄨㄣˋ,to inquire,
訓,ㄒㄩㄣˋ,to teach / to train / to admonish / instruction (from superiors) / teachings / rule,
押,ㄧㄚ,to mortgage / to pawn / to detain in custody / to escort and protect / (literary) to sign,
鴉片,ㄧㄚ ㄆㄧㄢˋ,opium (loanword),
壓歲錢,ㄧㄚ ㄙㄨㄟˋ ㄑㄧㄢˊ,money given to children as new year present,
壓縮,ㄧㄚ ㄙㄨㄛ,to compress / compression,
壓制,ㄧㄚ ㄓˋ,to suppress / to inhibit / to stifle,
牙科,ㄧㄚˊ ㄎㄜ,dentistry,
芽,ㄧㄚˊ,bud / sprout,
啞,ㄧㄚˇ,dumb / mute / hoarse / husky / unexploded (of artillery shell etc),
亞軍,ㄧㄚˋ ㄐㄩㄣ,second place (in a sports contest) / runner-up,
亞洲,ㄧㄚˋ ㄓㄡ,Asia / abbr. for 亞細亞洲细亚洲[Ya4 xi4 ya4 Zhou1],
淹,ㄧㄢ,to flood / to submerge / to drown / to irritate the skin (of liquids) / to delay,
研究所,ㄧㄢˊ ㄐㄧㄡˋ ㄙㄨㄛˇ,research institute / graduate studies / graduate school,個
言論,ㄧㄢˊ ㄌㄨㄣˋ,expression of opinion / views / remarks / arguments,
岩石,ㄧㄢˊ ㄕˊ,rock,
延遲,ㄧㄢˊ ㄔˊ,to delay / to postpone / to keep putting sth off / to procrastinate / (computing) to lag,
延伸,ㄧㄢˊ ㄕㄣ,to extend / to spread,
延誤,ㄧㄢˊ ㄨˋ,to delay / to be held up / to miss (an opportunity) / delay / holdup,
延續,ㄧㄢˊ ㄒㄩˋ,to continue / to go on / to last,
沿海,ㄧㄢˊ ㄏㄞˇ,coastal,
沿途,ㄧㄢˊ ㄊㄨˊ,along the sides of the road / by the wayside,
沿襲,ㄧㄢˊ ㄒㄧˊ,to carry on as before / to follow (an old custom etc),
沿用,ㄧㄢˊ ㄩㄥˋ,to continue to use (old methods) / to apply as before / according to usage,
嚴禁,ㄧㄢˊ ㄐㄧㄣˋ,to strictly prohibit,
嚴厲,ㄧㄢˊ ㄌㄧˋ,severe / strict,
嚴密,ㄧㄢˊ ㄇㄧˋ,"strict / tight (organization, surveillance etc)",
演變,ㄧㄢˇ ㄅㄧㄢˋ,to develop / to evolve / development / evolution,
演講,ㄧㄢˇ ㄐㄧㄤˇ,lecture / to make a speech,
演說,ㄧㄢˇ ㄕㄨㄛ,speech / to deliver a speech,
演習,ㄧㄢˇ ㄒㄧˊ,maneuver / exercise / practice / to maneuver,
眼界,ㄧㄢˇ ㄐㄧㄝˋ,ken / scope,
眼看,ㄧㄢˇ ㄎㄢˋ,soon / in a moment / to look on as sth happens,
衍生,ㄧㄢˇ ㄕㄥ,to give rise to / to derive / derivative / derivation,
燕窩,ㄧㄢˋ ㄨㄛ,edible bird's nest,
燕子,ㄧㄢˋ ㄗ˙,swallow,
央求,ㄧㄤ ㄑㄧㄡˊ,to implore / to plead / to ask earnestly,
仰,ㄧㄤˇ,to face upward / to look up / to admire / to rely on,
仰慕,ㄧㄤˇ ㄇㄨˋ,to admire,
養分,ㄧㄤˇ ㄈㄣˋ,nutrient,
養老,ㄧㄤˇ ㄌㄠˇ,to provide for the elderly (family members) / to enjoy a life in retirement,
養育,ㄧㄤˇ ㄩˋ,to rear / to bring up / to nurture,
邀,ㄧㄠ,to invite / to request / to intercept / to solicit / to seek,
窯,ㄧㄠˊ,kiln / oven / coal pit / cave dwelling / (coll.) brothel,
搖晃,ㄧㄠˊ ㄏㄨㄤˋ,to rock / to shake / to sway,
謠言,ㄧㄠˊ ㄧㄢˊ,rumor,
遙遠,ㄧㄠˊ ㄩㄢˇ,distant / remote,
要點,ㄧㄠˋ ㄉㄧㄢˇ,main point / essential,
要犯,ㄧㄠˋ ㄈㄢˋ,major criminal,
藥品,ㄧㄠˋ ㄆㄧㄣˇ,medicaments / medicine / drug,
葉,ㄧㄝˋ,leaf / page / lobe / (historical) period / classifier for small boats,
業績,ㄧㄝˋ ㄐㄧ,"achievement / accomplishment / (in more recent usage) performance (of a business, employee etc) / results",
依,ㄧ,to depend on / to comply with or listen to sb / according to / in the light of,
依舊,ㄧ ㄐㄧㄡˋ,as before / still,
依據,ㄧ ㄐㄩˋ,according to / basis / foundation,
依賴,ㄧ ㄌㄞˋ,to depend on / to be dependent on,
依照,ㄧ ㄓㄠˋ,according to / in light of,
醫療,ㄧ ㄌㄧㄠˊ,medical treatment,
醫術,ㄧ ㄕㄨˋ,medical expertise / art of healing,
醫藥,ㄧ ㄧㄠˋ,medical care and medicines / medicine (drug) / medical / pharmaceutical,
一定,ㄧ ㄉㄧㄥˋ,surely / certainly / necessarily / fixed / a certain (extent etc) / given / particular / must,
一道,ㄧ ㄉㄠˋ,together,
一度,ㄧ ㄉㄨˋ,for a time / at one time / one time / once,
一概,ㄧ ㄍㄞˋ,all / without any exceptions / categorically,
一貫,ㄧ ㄍㄨㄢˋ,consistent / constant / from start to finish / all along / persistent,
一律,ㄧ ㄌㄩˋ,same / uniformly / all / without exception,
一味,ㄧ ㄨㄟˋ,blindly / invariably,
咦,ㄧˊ,expression of surprise,
儀表,ㄧˊ ㄅㄧㄠˇ,appearance / bearing / meter (i.e. measuring instrument),
遺產,ㄧˊ ㄔㄢˇ,heritage / legacy / inheritance / bequest,筆
遺傳,ㄧˊ ㄔㄨㄢˊ,heredity / to inherit (a trait) / to pass on (to one's offspring),
遺憾,ㄧˊ ㄏㄢˋ,regret / to regret / to be sorry that,
遺留,ㄧˊ ㄌㄧㄡˊ,to leave behind / to hand down,
遺棄,ㄧˊ ㄑㄧˋ,to leave / to abandon,
遺體,ㄧˊ ㄊㄧˇ,remains (of a dead person),
遺忘,ㄧˊ ㄨㄤˋ,to become forgotten / to forget,
遺志,ㄧˊ ㄓˋ,"the mission in life of a deceased person, left to others to carry on",
遺址,ㄧˊ ㄓˇ,ruins / historic relics,
疑慮,ㄧˊ ㄌㄩˋ,hesitation / misgivings / doubt,
移植,ㄧˊ ㄓˊ,to transplant,
倚,ㄧˇ,to lean on / to rely upon,
以至,ㄧˇ ㄓˋ,down to / up to / to such an extent as to ... / also written 以至於至于[yi3 zhi4 yu2],
以至於,ㄧˇ ㄓˋ ㄩˊ,down to / up to / to the extent that...,
以致,ㄧˇ ㄓˋ,to such an extent as to / down to / up to,
以致於,ㄧˇ ㄓˋ ㄩˊ,so that / to the point that,
亦,ㄧˋ,also,
亦,ㄧˋ,also,
一連串,ㄧ ㄌㄧㄢˊ ㄔㄨㄢˋ,a succession of / a series of,
一流,ㄧ ㄌㄧㄡˊ,top quality / front ranking,
一如,ㄧ ㄖㄨˊ,to be just like,
一心,ㄧ ㄒㄧㄣ,wholeheartedly / heart and soul,
液體,ㄧㄝˋ ㄊㄧˇ,liquid,
抑制,ㄧˋ ㄓˋ,to inhibit / to keep down / to suppress,
意識到,ㄧˋ ㄕˋ ㄉㄠˋ,to realize,
意圖,ㄧˋ ㄊㄨˊ,intent / intention / to intend,
意味,ㄧˋ ㄨㄟˋ,meaning / implication / flavor / overtone / to mean / to imply / (Tw) to get a sense of,
毅力,ㄧˋ ㄌㄧˋ,perseverance / willpower,
翌日,ㄧˋ ㄖˋ,next day,
異常,ㄧˋ ㄔㄤˊ,exceptional / abnormal / an anomaly,
異鄉,ㄧˋ ㄒㄧㄤ,foreign land / a place far from home,
議定,ㄧˋ ㄉㄧㄥˋ,to reach an agreement / to agree upon,
議論,ㄧˋ ㄌㄨㄣˋ,to comment / to talk about / to discuss / discussion,個
議題,ㄧˋ ㄊㄧˊ,topic of discussion / topic / subject / issue (under discussion),項
議員,ㄧˋ ㄩㄢˊ,member (of a legislative body) / representative,
音,ㄧㄣ,sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character),
因果,ㄧㄣ ㄍㄨㄛˇ,karma / cause and effect,
陰謀,ㄧㄣ ㄇㄡˊ,plot / conspiracy,
陰影,ㄧㄣ ㄧㄥˇ,(lit. and fig.) shadow,
銀幕,ㄧㄣˊ ㄇㄨˋ,movie screen,
銀色,ㄧㄣˊ ㄙㄜˋ,silver (color),
銀子,ㄧㄣˊ ㄗ˙,money / silver,
引,ㄧㄣˇ,"to draw (e.g. a bow) / to pull / to stretch sth / to extend / to lengthen / to involve or implicate in / to attract / to lead / to guide / to leave / to provide evidence or justification for / old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters",
引導,ㄧㄣˇ ㄉㄠˇ,to guide / to lead (around) / to conduct / to boot / introduction / primer,
引進,ㄧㄣˇ ㄐㄧㄣˋ,to recommend / to introduce (from outside),
引擎,ㄧㄣˇ ㄑㄧㄥˊ,engine (loanword),臺
